Subject,Company Name,Founded Year,Headquarters Address,Phone Number,Website URL,Email Address,CEO/President,Annual Revenue,Employee Count,Services Offered,Union Status,Logo Description,LinkedIn URL,Facebook URL,Twitter URL,Instagram URL,Key Projects,Certifications,Safety Record,Recent News,Organizing Notes,Research Confidence,Data Sources,Error
ValveTek Utility Services Inc,"ValveTek Utility Services, Inc.",2000,"20 Lafayette Place, Kenilworth, NJ 07033","(908) 412-7151 (Main), (908) 412-7153 (Fax)",https://valvetek.net/,"Not explicitly found, general contact forms available on website.",Jeffrey Favina (President),$3.5 Million - $6 Million (conflicting sources),11-50 (LinkedIn),"Hydrant and valve work, asset mapping and engineering programs, GPS mapping, water conservation and water quality services for municipal and private water company distribution systems.","Not explicitly stated as unionized or non-union. One job posting mentions 'Union, NJ' which might indicate work in union areas, but not the company's overall status.","The company logo features the word ""VALVETEK"" in a stylized font, with ""UTILITY SERVICES, INC."" below it. To the left of ""VALVETEK"" is an icon that appears to be a faucet or valve with water droplets, and to the right is a fire hydrant icon.",https://www.linkedin.com/company/valvetek-utility-services-inc,Not definitively found for ValveTek Utility Services Inc. (A 'ValTek' page exists but might be a different entity).,Not definitively found for ValveTek Utility Services Inc. (A 'Valvetek Trading' page exists but might be a different entity).,"An Instagram post mentions #ValveTek as a partner, suggesting a presence or association, but a direct company profile was not found.","Hydrant and valve programs for New Jersey American Water, SUEZ, Middlesex Water. Awarded contract for Valve Exercising Program for Trenton Water Works (2023-2024).",Compliance with New Jersey's Water Quality Accountability Act (NJ WQAA),"No specific OSHA violations found. A partner company, MeterTek Utility Services, claims an 'exemplary OSHA Safety record' in relation to ValveTek. Trenton NJ bid documents state the company will abide by OSHA regulations.","Awarded contract for Valve Exercising Program for Trenton Water Works (2023-2024). SBA PPP loan for $150,000-350,000 from Wells Fargo Bank. Job posting for Construction Laborer on Glassdoor (Sep 5, 2025).","The company operates in New Jersey and services major water utility clients, indicating significant presence in the region. While not explicitly unionized, a job posting mentioned 'Union, NJ' which could indicate work in union-dense areas. No specific labor disputes or NLRB cases were found, suggesting a relatively clean labor history from public records. The company's focus on compliance with NJ WQAA and its specialized services could be points of leverage or engagement. Identifying specific project sites and their workforce composition would be beneficial for organizing efforts. The conflicting revenue figures suggest private ownership and limited public financial disclosure, which is common for smaller private companies.",Medium,"https://valvetek.net/, https://www.linkedin.com/in/jeffrey-favina-0b047552, https://contactout.com/Jeffrey-Favina-2431957, https://cisleads.com/company/details/30619, https://www.dnb.com/business-directory/company-profiles.valvetek_utility_services_inc.4212588434ca88e0c7694591003e40cc.html, https://www.buzzfile.com/business/Valvetek-908-412-7151, https://www.zoominfo.com/c/valvetek-utility-services-inc/1107663216, https://rocketreach.co/valvetek-utility-services-inc-profile_b411ba7eff7cd6d2, https://www.trentonnj.org/DocumentCenter/View/9355, https://rocketreach.co/valtek-competitors_b71fe1f4c493bc26, https://www.indeed.com/cmp/Valvetek-Utility-Services",
MeterTek Utility Services Inc,MeterTek Utility Services Inc.,2014,"20 Lafayette Place, Kenilworth, NJ 07033",(908) 412-0515,https://metertek.net/,info@metertek.net,"Christina Loor, President",$1M to $5M,11-50 employees,"AMI / AMR Meter Install and Maintenance, Data and Billing Integration, Field Auditing for AMI Installation, Appointment Scheduling, Meter Maintenance, Repair & Infrastructure, Quality Control, Safety Training, Project Planning, Commercial/Industrial Large Meter Testing, Backflow Management, Certified Meter Testing (5/8”-12”). Specializes in advanced metering installation & technology solutions, water utility contractor, backflow prevention services.",Works with both union and non-union projects (can do Union Work and Non-Union Work).,"The logo features a blue water droplet with the company name ""MeterTek Utility Services, Inc."" next to it, and a blue valve icon.",https://www.linkedin.com/company/metertek-utility-services-inc,"Mentioned in various municipal Facebook posts (e.g., Borough of Madison NJ Gov)",Mentioned by Borough of Madison NJ Gov (https://twitter.com/MadisonNJ_gov/status/1846933008940421225),https://www.instagram.com/metertek2021/,"Lehigh County Authority (water meter replacement), Township of South Orange (water meter installation), Borough of Madison (water meter installation), Montville Township (water meter installation)",Member of American Water Works Association (AWWA),"Company claims an ""exemplary OSHA Safety record"" on its website. FMCSA SAFER record indicates US DOT number is active but ""INACTIVE: Inactive per 49 CFR 390.19(b)(4); biennial update of MCS-150 data not completed."" No specific OSHA violations found in general search results.","Engaged by various municipalities (e.g., Borough of Madison, Township of South Orange, Montville Township, Lehigh County Authority) for water meter replacement and installation projects. Featured in local government communications to residents regarding scheduled appointments for meter services.","The company works on both union and non-union projects, which could be a point of leverage. The FMCSA SAFER record indicates a lapse in compliance for trucking operations (inactive DOT number due to biennial update not completed), which might be worth investigating further for potential regulatory issues.",High,"metertek.net, linkedin.com, zoominfo.com, dnb.com, datanyze.com, rocketreach.co, safer.fmcsa.dot.gov, cisleads.com, facebook.com, twitter.com",
Esposito Construction LLC,Esposito Construction LLC,1999,"24 Merchants Way, Suite 109, Colts Neck, NJ 07722",732-721-4600,https://espositoconstruction.net/,"Not publicly available, contact form on website",Matthew Esposito,Approximately $6 million,Over 400 employees,"Site development, paving, infrastructure development, site improvement, excavation, import/export material, clearing, grading, drainage, underground utilities, concrete, crushing, trucking, environmental services.",Non-Union,Green diamond shape with 'ESPOSITO CONSTRUCTION' and 'SITE DEVELOPMENT' text inside.,https://www.linkedin.com/company/esposito-construction-llc,https://www.facebook.com/p/Esposito-Construction-LLC-61556555159513/,Not found,https://www.instagram.com/espositoconstructionllc/?hl=en,"Multi-family, hospitality, healthcare, affordable housing, HUD, industrial, retail, auto dealerships, and large tract residential projects. Major clients include Ryan Homes, D. R. Horton, K Hovnanian, Toll Brothers, Highview Homes.","New Jersey Public Works Contractor's Registration Act Certificate (N.J.S.A. 34:11-56.48), New Jersey General Contractor license (#13VH04171800, expired 3/31/2023 - need to verify current status)","OSHA Inspection 1241549.015: Informal Settlement 08/21/2017, $3,150.00 penalty; Issued 07/24/2017, $4,889.00 penalty. Other inspections: 1631539.015, 1614012.015.",Active NLRB cases with IUOE Local 825 (filed March/April 2025).,"Esposito Construction LLC is a non-union contractor with active NLRB cases involving IUOE Local 825, indicating ongoing organizing efforts. The company has a history of OSHA violations with associated penalties. This information is highly valuable for current and future organizing campaigns. The general contractor license expired in 2023, which might be a point of inquiry.",High,"https://espositoconstruction.net/, https://www.linkedin.com/company/esposito-construction-llc, https://www.linkedin.com/in/matthew-esposito-a3260b25, https://www.facebook.com/p/Esposito-Construction-LLC-61556555159513/, https://www.instagram.com/espositoconstructionllc/?hl=en, https://www.zoominfo.com/c/esposito-construction-llc/371470413, https://rocketreach.co/esposito-construction-llc-profile_b4076a15fc264332, https://www.westwindsornj.org/images/Bids/2021/ADA%20Ramps%20Bids/2-Esposito-Construction.pdf, https://www.nlrb.gov/case/22-CA-363246, https://www.nlrb.gov/case/22-CA-361818, https://www.nlrb.gov/case/22-CA-361995, https://www.nlrb.gov/case/22-CA-173143, https://www.nlrb.gov/case/22-RC-174538, https://www.osha.gov/ords/imis/establishment.inspection_detail?id=1631539.015, https://www.osha.gov/ords/imis/establishment.inspection_detail?id=1614012.015, https://www.osha.gov/ords/imis/establishment.violation_detail?id=1241549.015&citation_id=01002",
Esposito Industries,Esposito Construction,1999,"24 Merchants Way, Suite 109, Colts Neck, NJ 07722",732-721-4600,https://espositoconstruction.net/,N/A,Matthew Esposito (President & CEO),"$27.8M - $35M (conflicting reports, estimated range)",Over 400 employees,"Site development, paving, infrastructure development, utilities, concrete, crushing, trucking, environmental services.",Non-Union,"A stylized ""E"" within a diamond shape, with ""ESPOSITO CONSTRUCTION"" and ""SITE DEVELOPMENT"" text.",https://www.linkedin.com/company/esposito-construction-llc,https://www.facebook.com/p/Esposito-Construction-LLC-61556555159513/,https://twitter.com/espositoconstr,https://www.instagram.com/espositoconstructionllc/?hl=en,"Multi-family, hospitality, healthcare, affordable housing, HUD, industrial, retail, auto dealerships, and large tract residential projects in the tri-state area. Works with national and regional home builders like Ryan Homes, D. R. Horton, K Hovnanian, Toll Brothers, Highview Homes.",New Jersey Business Registration Certificate,"OSHA inspection 1614012.015 (August 10, 2022) involved a fatality (heart attack). OSHA violation 1241549.015 (June 21, 2017) with a penalty of $3,150.00 (informal settlement) and $4,889.00 (issued). Another workplace safety or health violation in 2023 with a penalty of $10,701. Additional OSHA inspection 1631539.015 (site: 250 Ridge Rd Dayton, NJ 08810).","Two open NLRB cases (22-CA-363246, 22-CA-361818) filed in March and April 2025 involving IUOE Local 825. A fatality occurred during an OSHA inspection in August 2022. Workplace safety violations in 2017 and 2023.","Esposito Construction is a non-union company with two open NLRB cases (22-CA-363246, 22-CA-361818) involving IUOE Local 825. They have a history of OSHA violations, including a fatality in 2022 and multiple penalties. Their rapid growth and significant presence in the New Jersey construction market, working with major home builders and government agencies, make them a relevant target for organizing efforts. Focus on their non-union status, safety record, and large employee count.",High,"espositoconstruction.net, linkedin.com, growjo.com, leadiq.com, rocketreach.co, osha.gov, nlrb.gov, incfact.com, bbb.org, thebluebook.com, owler.com",
E Control Services,E Control Services LLC,2024,"24 Merchants Way, Colts Neck, NJ 07722","(732) 721-4600 (CIS Leads), (201) 435-6900 (from Facebook page for Control Services LLC)",https://espositoconstruction.net/,anieves@controldemo.net (from Facebook page for Control Services LLC),Matt Esposito (President & CEO of Esposito Construction LLC),"Over $500 million (for Esposito Construction LLC, likely includes E Control Services LLC revenue)","96-300+ (for Esposito Construction LLC, likely includes E Control Services LLC personnel)","Demolition (E Control Services LLC), Site development, paving, concrete, crushing, trucking, environmental (Esposito Construction LLC)","Non-union (for Esposito Construction LLC, likely applies to E Control Services LLC). Two open NLRB cases against Esposito Construction LLC (22-CA-363246 and 22-CA-361818) filed by International Union of Operating Engineers Local 825.","The logo for Esposito Construction (likely associated with E Control Services LLC) features a stylized 'E' within a diamond shape, set against a dark, textured background resembling diamond plate. The text 'ESPOSITO CONSTRUCTION' is above the diamond.",https://www.linkedin.com/company/esposito-construction-llc,https://www.facebook.com/ControlServicesLLC/,https://x.com/espositocollc,https://www.instagram.com/espositoconstructionllc/,"Large developers, general contractors, municipalities, and government agencies (for Esposito Construction LLC)",New Jersey Home Improvement Business Contr license #13VH13421700 (Active as of August 2025),"OSHA Inspection 1614012.015 (August 10, 2022): Employee fatality while operating an excavator (Esposito Construction LLC). OSHA Inspection 1631539.015: Closed (Esposito Construction LLC). OSHA Violation (2017): Penalties of $3,150.00 (informal settlement) and $4,889.00 (issued) (Esposito Construction LLC). OSHA Violation (2023): Workplace safety or health violation with a $10,701 penalty (Esposito Construction LLC).","Lawsuit filed by a Bayonne developer alleging property theft and forged signatures, seeking $6.1M (April 2024) against Esposito Construction LLC. Partnership with Solace House USA for mental health awareness and suicide prevention (Esposito Construction LLC). Control Services LLC (potentially related) preparing for a power plant implosion in Maryland (August).","E Control Services LLC shares an address with Esposito Construction LLC, and Mathew McMahon is listed in connection with both. It is highly probable that E Control Services LLC is a subsidiary, related entity, or DBA of Esposito Construction LLC. Research on Esposito Construction LLC provides more comprehensive data. Main Competitors (for Esposito Construction LLC, likely also for E Control Services LLC): Competitors include various paving, asphalt, plumbing, and general construction companies such as Rdc Paving, T&K Asphalt Services, NVM Paving & Concrete, Asphalt Management, LA Design and Construction, Hutchinson Plumbing Heating Cooling Energy Services, Haddad Plumbing and Heating, Eden Property Company, Medcore Pharma, Monello Landscape Industries, STAVOLA MANAGEMENT, TRAFFIC PLAN, G.R. ROBERT CONSTRUCTION, J Vinch & Sons, J & N Demolition, Junk Rescue, Superior Tank and Energy, Eglentowicz Demolition & Environmental Services, Dallas Contracting Co., Inc., Bella Contracting Services, and Meco Constructors.",High,"CIS Leads (cisleads.com), BuildZoom (buildzoom.com), Bizapedia (bizapedia.com), Procore (pcn.procore.com), Facebook (facebook.com/ControlServicesLLC/), LinkedIn (linkedin.com/company/esposito-construction-llc), X (x.com/espositocollc), Instagram (instagram.com/espositoconstructionllc/), OSHA (osha.gov), NLRB (nlrb.gov), SoilConnect (soilconnect.com), NJ BPU (nj.gov/bpu)",
Level 10 Development,Level 10 Development LLC,2016,"24 Merchants Way Ste 202 Colts Neck, NJ, 07722",(732) 724-2274,https://l-10.net/,info@l-10.net,"Matthew Esposito (Creator, affiliated with Esposito Construction LLC)",<$5 Million,11-50,"Real estate development (Residential and Commercial), Builders, Construction Management, General Contractor, Strategic Repositioning of Property, Site Evaluations, Multi-Layer Project Scheduling, Design Build, Value Engineering, Entitlement Services. Specializes in Warehouses, Retail, Multi-Family, Industrial, Residential, Fit Out, Medical.",Not available in public records found.,Green and white logo with a stylized 'D' and 'LEVEL 10 DEVELOPMENT' text.,https://www.linkedin.com/company/level-10-development,https://www.facebook.com/p/Level-10-Development-61556658594674/,Implied from social media icons on website (labeled as 'X'),https://www.instagram.com/p/DDKB3hMx_Dt/ (implied from social media icons on website),"Full interior retrofit of a former Lowe's facility in Old Bridge, NJ (in progress). Diverse portfolio including warehouses, retail, multi-family, industrial, residential, fit-out, and medical projects.","No specific construction licenses found for Level 10 Development LLC (NJ). A similarly named company, Level 10 LLC (IL), holds a Telecommunications Contractor license.",Not available in public records found.,"GWG has broken ground on our latest project with Level 10 Development (a full interior retrofit of a former Lowe's facility in Old Bridge, NJ).","Level 10 Development LLC is a real estate development and construction company based in New Jersey, founded in 2016. It is affiliated with Esposito Construction LLC, with Matthew Esposito as its creator. The company specializes in residential and commercial projects, including multi-family, industrial, retail, and medical sectors. Their revenue is estimated to be less than $5 million, and they have 11-50 employees. Key personnel include Matthew Esposito and Jeff Jablonski (Director of Construction). No specific union status or labor disputes were found in the initial research. Further investigation into their relationship with Esposito Construction LLC and any potential labor history of that entity might be beneficial for organizing efforts. Also, a deeper dive into their project history and any public records related to permits or violations could provide more insights.",Medium,"l-10.net, zoominfo.com, linkedin.com, bizapedia.com, dnb.com",
Kyle Conti Construction,Kyle Conti Construction,2000,"749 Clawson Avenue, Hillsborough, NJ 08844",(908) 369-5100,,Not explicitly found,Kyle Conti,$27.9 Million (Note: Some sources report $9.3M),79 (Note: Some sources report 23 or 28 employees),"Heavy civil and environmental construction and infrastructure, energy and utilities, road and bridge, ports and marine, rails and transit, refineries and industrial, design/build, dam rehabilitation, sustainability.",Can do Union Work. Can do Non-Union Work (from CIS Leads). OSHA record for 2006 inspection listed 'Union'.,"The logo consists of the letters ""KCC"" with a stylized 'K' and 'C' forming a geometric pattern, followed by ""KCC"" in a sans-serif font. The color scheme appears to be green and white.",https://www.linkedin.com/company/kyle-conti-construction,https://www.facebook.com/kyleconticonstruction/,Not found for company (personal account for Kyle Conti: https://twitter.com/kyleconti),Not found for company (personal account for Kyle Conti mentioned in old tweets),"Army Corps - Port Monmouth Flood Wall, Princeton University Dam, Light Duty Straddle Carrier Shop Building, Paulsboro Marine Terminal – Phase 1 Site Electrical & Miscellaneous, Bridge 26.15 Replacement – CONRAIL / Norfolk Southern, South Amboy Ferry Terminal, Garden State Parkway Rehabilitation of Concrete, NJDOT RT 577 Bridge over RT 78","New Jersey Department of the Treasury (specific type not detailed, potentially M/W/S/DBE/Veteran Owned)","OSHA Inspection Nr: 308294230 (01/30/2006 - 05/05/2006) with 3 Serious violations (Excavations - General requirements, Requirements for protective systems, Ladders - Use). Initial Penalty: $3,750, Current Penalty: $2,250.","NLRB Case filed October 24, 2023 (status closed).","Kyle Conti Construction is a privately-owned, fourth-generation construction firm specializing in heavy civil and environmental construction in New Jersey. They operate in both union and non-union capacities ('double-breasted' or open shop). They have a history of government contracts and appear to have significant bonding capacity. A federal court case in 2017 involved a labor/management relations dispute with the NYC District Council of Carpenters. An NLRB case was filed in 2023 (status closed). An OSHA inspection in 2006 resulted in 3 serious violations related to excavations and ladders. These points are valuable for labor organizing efforts.",High,"kconticonstruction.com, linkedin.com, zoominfo.com, rocketreach.co, cisleads.com, dnb.com, osha.gov, drpa.org, nj.gov/comptroller, governmentcontractswon.com, panynj.gov, njsda.gov, courtlistener.com, trellis.law, midpage.ai, dol.gov",
Arold Construction,Arold Construction Co. Inc.,1973,"51 Powder Mill Bridge Rd. Kingston, NY 12401",(845) 336-8753,,Not explicitly found,Valerie Dwyer (President & Treasurer),Estimated $15 Million - $50 Million,65 employees,"Cured in Place Pipe (CIPP) & CCTV Inspection Services, Heavy Highway & Bridge Construction, Sewer & Water Treatment Plant Construction & Rehabilitation, Culvert Cleaning & CCTV Inspections, Alternative Lining Technologies Manhole Lining (AltLiner CIPM), Rädlinger Primus Line High Pressure Water, Sewer & Gas Main Lining. Specializes in installation of sewer and water lines, sidewalks and curbing, demolition, drainage improvements.",Not explicitly stated as union or non-union. No information found regarding union contracts or agreements.,"The logo features the word ""AROLD"" in bold, yellow, sans-serif capital letters with a black outline. Below it, ""CONSTRUCTION COMPANY, INC."" is written in smaller, black, sans-serif capital letters. The company website URL ""www.aroldconstruction.com"" is sometimes included below the company name in even smaller black text.",https://www.linkedin.com/company/arold-construction-co-inc-,https://www.facebook.com/aroldconstruction/,Not explicitly found,Not explicitly found,"Numerous government contracts with New York State Office of General Services and Livingston County for infrastructure rehabilitation, track resurfacing, artificial turf installation, and sewer remediation projects.","NYSDOT Certified CIPP installer, Licensed Centri-Pipe installer, Licensed AltLiner Installer, Licensed Primus Line installer, Certified WBE & DBE Contractor","Company website states they have been receiving safety awards for over 40 years. An OSHA inspection record from 2008 for ""Arold Construction Co Inc"" in NY indicates a complaint inspection (ID: 0213100). No other OSHA violations or worker compensation claims were explicitly found.","Contracted for construction work in Kingston, NY (Aug 2025); Awarded $4 million contract for track resurfacing and artificial turf installation at SUNY New Paltz (Jun 2024); Awarded over $1.6 million in new construction contracts for roadway and sidewalk rehabilitation in Rockland County (Dec 2021); Responded to flash flooding in Glen Aubrey, NY, within 24 hours (Facebook post).","Arold Construction Co. Inc. is based in Kingston, NY, not New Jersey, which was the primary focus of the task. However, their geographic service areas include NY, NJ, PA, CT, MA & VT, indicating operations in New Jersey. The company is family-owned and has a strong presence in government contracts in New York. No explicit union status or labor disputes were found, suggesting they might be non-union. Their specialization in trenchless technologies and infrastructure rehabilitation, coupled with a strong safety record, could be points of interest for organizing efforts.",High,"https://www.aroldconstruction.com/, https://www.zoominfo.com/c/arold-construction-co-inc/369209389, https://www.salary.com/research/company/arold-construction-co-inc/construction-super-salary, https://www.osha.gov/ords/imis/industry.search?sic=&naics=23&state=All&officetype=All&office=All&startmonth=12&startday=31&startyear=2012&endmonth=01&endday=01&endyear=2002&scope=&fedagncode=&owner=&p_start=&p_finish=33540&p_sort=estab_name&p_desc=ASC&p_direction=Next&p_show=20, https://www.osc.ny.gov/press/releases/2024/06/state-contract-and-payment-actions-april, https://kingston-ny.gov/news/?FeedID=3444, https://www.facebook.com/aroldconstruction/, https://www.linkedin.com/company/arold-construction-co-inc-",
J Mullen & Son,"J. Mullen & Sons, Inc.",1982,"997 Kings Hwy, Saugerties, NY 12477",(845) 247-0954,http://www.jmullenandsons.com/,info@jmullenandsons.com,John Mullen (Owner),$3.0 million - $16.2 million (conflicting reports from various sources),"Over 80 personnel (conflicting reports of 11, 30, 71 employees from other sources)","Commercial demolition, new construction, construction management, excavation, site utilities, site concrete, site masonry, structural concrete, lightweight metal framing, architectural masonry, interior framing and drywall, architectural finishes, EFIS systems, restoration, construction and foundations.","Operates as both union and non-union contractor, indicating flexibility in labor agreements.","The company logo features the text ""J Mullen & SONS, INC."" with a brick-like graphic element above the ""Mullen"" text.","https://www.linkedin.com/in/john-mullen-79745638 (for John Mullen, owner); https://www.linkedin.com/in/edwin-cooper-4386308 (for Edwin Cooper, Office Manager); https://www.linkedin.com/in/russ-gauthier-4a1b2157 (for Russ Gauthier, Project Exec/Senior PM); https://www.linkedin.com/in/brian-nealy-47219477 (for Brian Nealy, Project Manager)",https://www.facebook.com/jmullenandsons/,Not found.,Not found.,"Gas line replacement projects for Central Hudson (e.g., 13 miles of gas lines, Broadway, Kingston New York - 12″ Gas Main Replacement).","Certified Contractor for NYDEP, Certified EFIS STOW Contractor, Certified Pre-Engineered Metal Building Contractor.","OSHA violations found in 2023 ($45,315) and other unspecified years ($5,000). Involved in at least one worker compensation case (Vazquez v J. Mullen & Sons, Inc.).","- November 3, 2023: A gas line struck by a subcontractor of J. Mullen & Sons Inc. caused a house explosion in Wappingers Falls. Officials stated the subcontractor followed procedure by calling UDigNY before digging, but the line wasn't marked.
- August 6, 2022: J. Mullen & Sons was named the 2022 Ulster County Business of the Year.
- April 2, 2024: OIE Investigators issued an administrative subpoena to J. Mullen & Sons, Inc. for the physical copy of the “DIP Book” project binder during a PSC investigation related to Central Hudson.","J. Mullen & Sons, Inc. operates as both a union and non-union contractor, which could be a strategic point for organizing efforts. They have faced OSHA violations and worker compensation claims, indicating potential areas for labor organizing focus on safety and worker rights. The company is a significant contractor in the Hudson Valley, working on major infrastructure projects like gas line replacements for Central Hudson and projects for Vassar College, suggesting a stable and influential presence in the region. The conflicting employee count and revenue figures across different sources indicate a need for further verification if precise numbers are critical. The recent news about a gas line strike by a subcontractor, despite following UDigNY procedures, highlights potential safety concerns related to their operations or subcontractors.",Medium,"jmullenandsons.com, zoominfo.com, dnb.com, rocketreach.co, hudsonvalleyone.com, yelp.com, business.dcrcoc.org, thebluebook.com, business.ulsterchamber.org, linkedin.com, facebook.com, dailyfreeman.com, cisleads.com, law.justia.com, osha.gov, midhudsonnews.com, kingston-ny.gov",
Harrington Construction,Harrington and Sons Inc.,1958,"50 Parker Road, Chester, NJ 07930",(908) 879-7500,https://harringtoncontractors.com/,info@harringtoncontractors.com,John Harrington (President),"$22.5 Million (with discrepancies noted from other sources, ranging from $1.3M to $10.77M)",Over 120,"Residential and Commercial general contracting, driveway paving and detailing, landscaping/hardscaping, excavating, septic and drainage services, land clearing, grading, sewer and water line installation, curbing, paving, milling, masonry.",NonUnion,"The logo features the word ""HARRINGTON"" in a green banner, with ""INC."" in smaller text next to it. The banner is positioned over two green rectangular shapes, possibly stylized 'H's or construction elements.",https://www.linkedin.com/company/harrington-contractors-inc,https://www.facebook.com/harringtoncontractorsnj/,"Not found (personal account found, not company)",https://www.instagram.com/harringtoncontractorsnj/?hl=en,"Residential communities, site development projects, various golf clubs (Canoe Brook CC, Hamilton Farm Golf Club, Roxiticus Golf Club, Fairmount Country Club, Montclair Golf Club, Somerset Hills CC, Mendham Golf & Tennis, Springbrook CC, Morris County Golf Club, Fiddlers Elbow Country Club, Echo Lake Country Club, Black Oak Golf Club, Morris County Parks Golf Courses). Prequalified contractor with New Jersey Department of Transportation (NJDOT).",New Jersey Home Improvement Business Contr license,"OSHA violations in 2011 ($8,500 fine) and 2023 (Referral, Partial). Specific inspection IDs: 1176570.015 (2016), 1075539.015 (2015), 1657373.015 (2023), 1368830.015 (W.J. Harrington & Sons Construction Co. Inc.).",A Facebook post from approximately 1 week ago (as of search date) mentions breaking ground and moving dirt on a new residential community. No other significant recent news articles found.,"Harrington Construction is a non-union company with over 60 years of experience in New Jersey. They are involved in both residential and commercial projects, including significant site development and work for golf courses. Their prequalification with NJDOT indicates involvement in government contracts. They have a history of OSHA violations, which could be a point of focus for organizing. The discrepancy in reported annual revenue suggests that financial stability might be difficult to ascertain precisely without deeper investigation, but they appear to be a well-established company. Key personnel, including the President and various managers, are identified. The company's focus on customer satisfaction and long-standing presence in the region could be leveraged or challenged in an organizing campaign.",High,"harringtoncontractors.com, bbb.org, safer.fmcsa.dot.gov, brokersnapshot.com, zoominfo.com, buildzoom.com, njportal.com, konaequity.com, rocketreach.co, buzzfile.com, manta.com, osha.gov, violationtracker.goodjobsfirst.org, claimspages.com, nj.gov/labor/workerscompensation/, linkedin.com, facebook.com/harringtoncontractorsnj/, instagram.com/harringtoncontractorsnj/, yelp.com, angi.com, procore.com, glassdoor.com, indeed.com, propjump.com, newjerseybids.com, nj.gov/transportation/business/procurement/ConstrServ/prequalification/prequalifiedcontractors.shtm, levelset.com",
